ID;DESIGNATION;DESCRIPTION;LIEN;CATEGORIES;ETAT
1;Katalog - Plateforme de ressources ouvertes;Rendre accessibles les résultats de la recherche en partageant autant que possible les données et les méthodes, voici l’enjeu de la science ouverte. L’ouverture est le gage d’une recherche mieux documentée, plus étayée et compilée.;https://github.com/Konsilion/katalog-template/;Numerique;Disponible
2;Konnect - Couteau suisse de la Data Science;Equipez vous des outils utiles au développement et à la diffusion de vos savoirs. acceder à des services et applications nécessitant normalement de certaines compétences informatiques, mais néanmoins très utiles pour produire et diffuser des savoirs et collaborer autour de projets communs.;https://konnect.konsilion.fr;Numerique;En pause
